datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-24T07:19:00-05:00,622.34,622.42,622.34,622.42,552.0,622.32,622.42,622.32,622.38,622.34,622.43,622.34,622.41
2025-12-24T07:20:00-05:00,622.4,622.5,622.4,622.5,1851.0,622.38,622.5,622.38,622.49,622.41,622.52,622.4,622.5
2025-12-24T07:21:00-05:00,622.49,622.49,622.39,622.41,2786.0,622.49,622.49,622.37,622.37,622.5,622.5,622.39,622.41
2025-12-24T07:22:00-05:00,622.42,622.43,622.41,622.43,3649.0,622.37,622.43,622.35,622.41,622.41,622.45,622.39,622.44
2025-12-24T07:23:00-05:00,622.39,622.39,622.39,622.39,100.0,622.41,622.41,622.36,622.38,622.44,622.44,622.39,622.41
2025-12-24T07:24:00-05:00,622.4,622.4,622.38,622.38,284.0,622.38,622.4,622.35,622.36,622.41,622.41,622.38,622.38
2025-12-24T07:25:00-05:00,622.34,622.36,622.34,622.36,1997.0,622.36,622.38,622.33,622.36,622.38,622.4,622.35,622.38
2025-12-24T07:26:00-05:00,622.36,622.36,622.33,622.33,340.0,622.36,622.37,622.32,622.32,622.38,622.4,622.34,622.34
2025-12-24T07:27:00-05:00,622.33,622.33,622.31,622.31,505.0,622.32,622.34,622.3,622.3,622.34,622.36,622.31,622.31
2025-12-24T07:28:00-05:00,622.3,622.3,622.28,622.28,624.0,622.3,622.3,622.26,622.29,622.31,622.32,622.27,622.31
2025-12-24T07:29:00-05:00,622.27,622.27,622.23,622.25,3033.0,622.29,622.29,622.2,622.25,622.31,622.31,622.23,622.27
2025-12-24T07:30:00-05:00,622.27,622.33,622.27,622.31,959.0,622.25,622.33,622.24,622.3,622.27,622.34,622.27,622.33
2025-12-24T07:31:00-05:00,622.32,622.33,622.32,622.32,506.0,622.3,622.34,622.3,622.32,622.33,622.35,622.31,622.34
2025-12-24T07:32:00-05:00,622.32,622.32,622.32,622.32,0.0,622.32,622.36,622.3,622.35,622.34,622.37,622.31,622.36
